"Name","Team","W","L","ERA","GS","G","SV","IP","H","ER","HR","SO","BB","WHIP","K/9","BB/9","FIP","WAR","RA9-WAR","ADP","playerid"
"Williams Perez","","0","0","4.72","0","0","0","1.0","1","1","0","1","0","1.43","7.00","3.19","4.76","0.0","0.0","999.0","11592"
"Hector Noesi","","0","0","4.70","0","0","0","1.0","1","1","0","1","0","1.34","8.44","3.08","4.77","0.0","0.0","999.0","3292"
"Darin Downs","","0","0","4.67","0","0","0","1.0","1","1","0","1","0","1.39","7.72","3.18","4.79","0.0","0.0","999.0","5903"
"Jacob Nix","SDP","0","0","4.71","0","0","0","1.0","1","1","0","1","0","1.37","7.29","2.92","4.79","0.0","0.0","999.0","17775"
"Jason Alexander","","0","0","4.70","0","0","0","1.0","1","1","0","1","0","1.45","6.75","3.38","4.79","0.0","0.0","999.0","sa3003997"
"Bailey Falter","","0","0","4.58","0","0","0","1.0","1","1","0","1","0","1.37","7.47","2.88","4.80","0.0","0.0","999.0","sa875033"
"Philip Pfeifer","SFG","0","0","4.66","0","0","0","1.0","1","1","0","1","0","1.48","8.14","4.30","4.80","0.0","0.0","999.0","sa602699"
"Thomas Szapucki","NYM","0","0","4.45","0","0","0","1.0","1","0","0","1","0","1.41","8.46","4.04","4.81","0.0","0.0","601.0","sa875054"
"Leonardo Crawford","MIL","0","0","4.58","0","0","0","1.0","1","1","0","1","0","1.37","7.75","3.23","4.82","0.0","0.0","999.0","sa872530"
"Adrian De Horta","TBR","0","0","4.56","0","0","0","1.0","1","1","0","1","1","1.42","9.02","4.53","4.82","0.0","0.0","999.0","sa737857"
"Duncan Robinson","CHC","0","0","4.88","0","0","0","1.0","1","1","0","1","0","1.42","6.94","2.93","4.83","0.0","0.0","999.0","sa874105"
"Jerry Keel","SDP","0","0","4.54","0","0","0","1.0","1","1","0","1","0","1.45","6.59","3.53","4.83","0.0","0.0","999.0","sa856543"
"Reiver Sanmartin","CIN","0","0","4.78","0","0","0","1.0","1","1","0","1","0","1.42","7.33","3.09","4.83","0.0","0.0","999.0","sa880982"
"Paolo Espino","WSN","0","0","4.83","0","0","0","1.0","1","1","0","1","0","1.39","8.26","3.23","4.84","0.0","0.0","999.0","8246"
"Isaac Anderson","","0","0","4.65","0","0","0","1.0","1","1","0","1","0","1.40","7.60","3.32","4.84","0.0","0.0","999.0","sa738925"
"Jordan Guerrero","","0","0","4.60","0","0","0","1.0","1","1","0","1","0","1.49","7.37","4.24","4.84","0.0","0.0","999.0","sa658262"
"Carl Bolton","PIT","0","0","4.87","0","0","0","1.0","1","1","0","1","0","1.43","7.65","3.50","4.85","0.0","0.0","999.0","sa3004975"
"Clayton Richard","","0","0","4.66","0","0","0","1.0","1","1","0","1","0","1.49","6.28","3.49","4.86","0.0","0.0","999.0","3551"
"Aaron Laffey","","0","0","4.57","0","0","0","1.0","1","1","0","1","0","1.37","7.10","2.94","4.87","0.0","0.0","999.0","6248"
"Jose De Paula","","0","0","4.67","0","0","0","1.0","1","1","0","1","0","1.44","6.98","3.46","4.87","0.0","0.0","999.0","5744"
"William Murfee","SEA","0","0","4.68","0","0","0","1.0","1","1","0","1","0","1.41","7.79","3.59","4.88","0.0","0.0","999.0","sa3006775"
"Anthony Shew","","0","0","4.68","0","0","0","1.0","1","1","0","1","0","1.41","7.05","3.33","4.88","0.0","0.0","999.0","sa921212"
"Randy LeBlanc","","0","0","4.84","0","0","0","1.0","1","1","0","1","0","1.43","6.98","3.22","4.88","0.0","0.0","999.0","sa549258"
"Zach Hedges","","0","0","4.81","0","0","0","1.0","1","1","0","1","0","1.43","6.46","3.01","4.89","0.0","0.0","999.0","sa829393"
